"";"Month";"Year";"Dry weight";"Ca";"Mg";"K";"S";"P";"Date"
"208";4;2022;25862,7265625;39,1834984;6,4384918;25,5770111;2,8303504;5,2042785;2022-04-01
"209";5;2022;25935,5703125;39,2778625;6,457799;25,6461411;2,8388813;5,219913;2022-05-01
"210";6;2022;25982,1914062;39,353775;6,4701557;25,6958752;2,844341;5,2265282;2022-06-01
"211";7;2022;26028,8125;39,4296875;6,4825125;25,7456112;2,8497648;5,2347369;2022-07-01
"212";8;2022;26069,6074219;39,4961166;6,4933238;25,7891273;2,8544331;5,2386756;2022-08-01
"213";9;2022;26107,484375;39,5577965;6,5033646;25,8295383;2,8588257;5,2429323;2022-09-01
"214";10;2022;26108,9433594;39,560173;6,5037508;25,8310928;2,858958;5,2432237;2022-10-01
"215";11;2022;26110,4003906;39,5614929;6,5040116;25,8316021;2,8589754;5,2432637;2022-11-01
"216";12;2022;26111,8574219;39,5614929;6,5040116;25,8316536;2,8589935;5,2433028;2022-12-01
"217";1;2023;26113,3164062;39,5614929;6,5040116;25,8316708;2,8590031;5,2433224;2023-01-01
"218";2;2023;26114,7734375;39,5614929;6,5040116;25,8316841;2,8590155;5,2433462;2023-02-01
"219";3;2023;26117,6855469;39,5614929;6,5040116;25,8317127;2,8590565;5,2434144;2023-03-01
"220";4;2023;26154,1054688;39,567379;6,5048156;25,8345947;2,8604734;5,2455015;2023-04-01
"221";5;2023;26226,9511719;39,6626778;6,5241222;25,9048004;2,8690045;5,2609363;2023-05-01
"222";6;2023;26273,5722656;39,7385941;6,5364795;25,9545326;2,874464;5,2676072;2023-06-01
"223";7;2023;26320,1933594;39,8145065;6,5488362;26,0042667;2,8799241;5,2714658;2023-07-01
"224";8;2023;26360,9863281;39,8809319;6,559648;26,0477867;2,884701;5,2754264;2023-08-01
"225";9;2023;26398,8652344;39,9426155;6,5696878;26,0881958;2,889137;5,2791758;2023-09-01
"226";10;2023;26400,3222656;39,9449921;6,5700741;26,0897484;2,889271;5,2794576;2023-10-01
"227";11;2023;26401,7792969;39,9463882;6,5703487;26,0902996;2,8892887;5,2794957;2023-11-01
"228";12;2023;26403,2382812;39,9463882;6,5703487;26,090353;2,889307;5,2795353;2023-12-01
"229";1;2024;26404,6953125;39,9463882;6,5703487;26,0903702;2,8893163;5,2795534;2024-01-01
"230";2;2024;26406,1523438;39,9463882;6,5703487;26,0903835;2,8893287;5,2795773;2024-02-01
"231";3;2024;26409,0644531;39,9463882;6,5703487;26,0904121;2,8893697;5,2796454;2024-03-01
"232";4;2024;26445,4863281;39,9522743;6,5711527;26,0932941;2,8907876;5,2817302;2024-04-01
