"";"Month";"Year";"Dry weight";"N";"Ca";"Mg";"K";"S";"P";"Date"
"233";5;2024;297902,34375;191,4782104;216,4990387;31,0628586;142,4150696;18,7136593;25,2854099;2024-05-01
"234";6;2024;299559,6875;192,2637177;217,6394806;31,216013;143,121109;18,8093204;25,3727818;2024-06-01
"235";7;2024;300335,5625;192,619339;218,1973419;31,2921085;143,4679718;18,8556156;25,3993015;2024-07-01
"236";8;2024;301032,25;192,939209;218,6972961;31,3602581;143,7787628;18,8971252;25,4229641;2024-08-01
"237";9;2024;301756,9375;193,2741394;219,2128754;31,4303284;144,098999;18,9400234;25,4469471;2024-09-01
"238";10;2024;301801,125;193,2949982;219,2434998;31,434454;144,1179657;18,9425888;25,450079;2024-10-01
"239";11;2024;301808,84375;193,2980499;219,2472992;31,4351063;144,1200867;18,9428139;25,4501686;2024-11-01
"240";12;2024;301810,3125;193,2982635;219,2472992;31,4351063;144,1201324;18,9428234;25,4502087;2024-12-01
"241";1;2025;301811,5625;193,2983551;219,2472992;31,4351063;144,1200562;18,9428291;25,4502239;2025-01-01
"242";2;2025;301812,875;193,2984619;219,2472992;31,4351063;144,1200256;18,9428387;25,4502468;2025-02-01
"243";3;2025;301815,5625;193,2986755;219,2472992;31,4351063;144,1199188;18,9428768;25,4503098;2025-03-01
